codec,image,target,target_bytes,variant,q,cr,bytes,miss_pct,not_binding,enc_fps,enc_spread,enc_thr_fps,enc_point,dec_fps,dec_thr_fps,psnr,psnr_kind
fv,2k,q85,601703,q-only,84.991455078125,,601378,-0.05401335875008102,False,358.5,0.05578800557881324,1879.3,8x2,134.6,1001.9,40.41435426626853,psnr
fv,2k,q85,601703,cr-only,,10.230252172198536,601905,0.03357137990005036,False,194.6,0.15416238437820295,681.3,8x1,124.9,924.6,39.25161394690309,psnr
fv,2k,q85,601703,q85+cr,85.0,10.338655449615509,596869,-0.8033863883012051,True,218.6,0.22872827081427266,874.2,8x1,133.9,1018.3,40.39130120620854,psnr
fv,2k,q85,601703,q90+cr,90.0,10.230973829775253,601844,0.02343348795003515,False,211.5,0.18912529550827692,822.9,8x1,131.5,954.1,39.79674401860474,psnr
fv,2k,q85,601703,q95+cr,95.0,10.232004769170565,601967,0.043875466800065814,False,201.5,0.24813895781637718,754.9,8x1,131.3,984.7,39.73794620436291,psnr
fv,2k,q85,601703,q100+cr,100.0,10.230973829775253,601781,0.012963206100019446,False,196.4,0.4073319755600728,679.1,8x1,133.8,825.9,39.24922958493926,psnr
fv,2k,q85,601703,q120+cr,120.0,10.223740071684821,601800,0.016120910150024183,False,156.9,1.0834926704907513,426.0,8x1,122.7,867.3,38.625161226361044,psnr
nv,2k,q85,601703,nv q-only,87.2383,,600956,-0.12414762765018622,,185.1,,248.5,,275.8,1581.6,40.58428161001079,psnr
fv,2k,cr20,311040,q-only,73.98046875,,310824,-0.06944444444444445,False,403.7,0.4211047807778025,,,152.0,,36.25419954328501,psnr
fv,2k,cr20,311040,cr-only,,19.438850308641975,311155,0.0369727366255144,False,204.5,0.44009779951100525,,,129.1,,33.77608053261578,psnr
fv,2k,cr20,311040,q85+cr,85.0,19.48489611613607,311104,0.0205761316872428,False,231.2,0.3027681660899605,,,146.3,,35.86706941770012,psnr
fv,2k,cr20,311040,q90+cr,90.0,19.470293209876544,311250,0.06751543209876543,False,225.2,0.17761989342805384,,,140.6,,35.39369992698366,psnr
fv,2k,cr20,311040,q100+cr,100.0,19.438850308641975,311155,0.0369727366255144,False,205.7,0.2916869227029766,,,129.1,,33.77608053261578,psnr
fv,2k,cr20,311040,q120+cr,120.0,19.436175802030213,310972,-0.021862139917695474,False,137.4,0.43668122270741944,,,131.1,,33.77978754109584,psnr
nv,2k,cr20,311040,nv q-only,57.0742,,310219,-0.2639531893004115,,214.5,,,,319.5,,36.29254847774273,psnr
fv,2k,cr5,1244160,q-only,94.869384765625,,1243660,-0.04018775720164609,False,301.6,0.19893899204242899,,,115.7,,45.52717236017826,psnr
fv,2k,cr5,1244160,cr-only,,4.991837866512346,1244102,-0.004661779835390946,False,183.4,0.21810250817884716,,,110.5,,45.110247633629356,psnr
fv,2k,cr5,1244160,q90+cr,90.0,5.0,845516,-32.04121656378601,True,295.2,0.16937669376693767,,,123.0,,42.80918591016346,psnr
fv,2k,cr5,1244160,q95+cr,95.0,5.0,1244754,0.04774305555555555,False,189.1,0.5817028027498649,,,115.8,,45.56953561382735,psnr
fv,2k,cr5,1244160,q100+cr,100.0,4.991837866512346,1244102,-0.004661779835390946,False,184.3,0.3798155181768793,,,110.5,,45.110247633629356,psnr
fv,2k,cr5,1244160,q110+cr,110.0,4.990881397890947,1244255,0.007635673868312758,False,161.7,0.4329004329004435,,,109.0,,44.75731595161787,psnr
fv,2k,cr5,1244160,q120+cr,120.0,4.989527070473251,1244125,-0.0028131430041152265,False,141.0,0.5673758865248307,,,103.8,,44.523974591786754,psnr
nv,2k,cr5,1244160,nv q-only,97.8972,,1245380,0.09805812757201646,,155.8,,,,228.2,,46.16599734880936,psnr
fv,4k,q85,1275547,q-only,84.991455078125,,1274671,-0.06867641882266981,False,187.2,0.16025641025641635,614.3,8x1,91.5,343.8,41.9712168406022,psnr
fv,4k,q85,1275547,cr-only,,19.01696009001537,1275480,-0.005252648471596891,False,120.1,0.33305578684430115,314.0,8x1,97.0,358.4,41.238626540517416,psnr
fv,4k,q85,1275547,q85+cr,85.0,19.50786603708056,1244668,-2.4208437634991107,True,144.5,0.5536332179930677,428.5,8x1,94.4,379.4,41.89148430237212,psnr
fv,4k,q85,1275547,q90+cr,90.0,19.00405284943596,1275581,0.002665523104989467,False,134.1,0.22371364653244696,400.0,8x1,94.5,387.9,41.497627409468535,psnr
fv,4k,q85,1275547,q95+cr,95.0,18.99517446776869,1276736,0.09321491093624931,False,129.1,0.15491866769944898,362.2,8x1,95.9,387.9,41.51422162795896,psnr
fv,4k,q85,1275547,q100+cr,100.0,19.016216359183467,1275480,-0.005252648471596891,False,120.6,0.08291873963515284,314.5,8x1,92.1,363.5,41.238626540517416,psnr
