bench_version;nv_harness;codec;direction;image;alg;mode;threads;batch;note;frames;boundary;total_ms;ms_per_frame;fps;mb_s;out_kb;cr;gpu_mem_mb;gpu_avail_mb;power_w;j_per_frame;j_per_frame_net;energy_j_counter;j_per_frame_counter;j_per_frame_diff;cpu_s;cores;gpu;sdk;pcie_mb_s;wall_s;cmd
2026-08-31.3;;fv;E;2k;irrev;latency;1;1;;2499;no_h2d;6577.1;2.6318927571028414;380.0;2254;;;143.36;23173.12;135.48298507462687;0.36774844932912715;0.3376200520068473;;;;6.75;0.9951107626559305;NVIDIA GeForce RTX 4090;0.23.1.0;25233;6.7831645011901855;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2499 -discard
2026-08-31.3;;fv;E;2k;irrev;latency;1;1;;2499;no_h2d;6552.5;2.6220488195278113;381.4;2263;;;143.36;23173.12;109.42791044776119;0.2959746207001367;0.2659528500374051;;;;6.703125;0.9917100074021256;NVIDIA GeForce RTX 4090;0.23.1.0;25226;6.759158372879028;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2499 -discard
2026-08-31.3;;fv;E;2k;irrev;latency;1;1;;2499;no_h2d;6553.6;2.6224889955982396;381.3;2262;;;143.36;23173.12;109.0489552238806;0.2954794297538402;0.26540373420599184;;;;6.71875;0.992239432521949;NVIDIA GeForce RTX 4090;0.23.1.0;25254;6.771299123764038;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 2499 -discard
2026-08-31.3;;fv;D;2k;irrev;latency;1;1;;900;no_d2h;6261.3;6.957;143.7;;;;40.96;23173.12;100.3703125;0.7186800479586752;0.639203270676296;;;;6.390625;0.9916776211893439;NVIDIA GeForce RTX 4090;0.23.1.0;25296;6.444256544113159;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 900 -discard
2026-08-31.3;;fv;D;2k;irrev;latency;1;1;;900;no_d2h;6273.4;6.970444444444444;143.5;;;;40.96;23173.12;98.435;0.7055000968111886;0.6259469306822177;;;;6.4375;0.9979923230882105;NVIDIA GeForce RTX 4090;0.23.1.0;25309;6.450450420379639;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 900 -discard
2026-08-31.3;;fv;D;2k;irrev;latency;1;1;;900;no_d2h;6263.2;6.959111111111111;143.7;;;;40.96;23173.12;97.849375;0.7001636900895172;0.6207397431087935;;;;6.421875;0.997189758738633;NVIDIA GeForce RTX 4090;0.23.1.0;25206;6.439972877502441;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 900 -discard
2026-08-31.3;;fv;E;2k;irrev;throughput;8;1;;9996;all;5616.7;0.5618947579031612;1779.7;;;;1136.64;23173.12;195.5656896551724;0.1146577062504999;0.10815011116882103;;;;40.28125;6.873312756060706;NVIDIA GeForce RTX 4090;0.23.1.0;25172;5.860529184341431;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9996 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;E;2k;irrev;throughput;8;1;;9996;all;5627.2;0.5629451780712285;1776.4;;;;1136.64;23173.12;212.27206896551726;0.12453181892472646;0.11802007347373782;;;;40.875;6.970180738590723;NVIDIA GeForce RTX 4090;0.23.1.0;25268;5.864266872406006;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9996 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;E;2k;irrev;throughput;8;1;;9996;all;5631.4;0.5633653461384553;1775.0;;;;1136.64;23173.12;212.775;0.12508343480536344;0.11855830529361974;;;;40.359375;6.86813756749128;NVIDIA GeForce RTX 4090;0.23.1.0;25215;5.876320123672485;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9996 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;D;2k;irrev;throughput;8;1;;3602;all;7966.0;2.211549139367018;452.2;;;;348.16;23173.12;139.09716049382718;0.3186982213852588;0.29326676029664156;;;;63.25;7.6639991180715255;NVIDIA GeForce RTX 4090;0.23.1.0;25266;8.2528715133667;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3602 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;D;2k;irrev;throughput;8;1;;3602;all;8340.3;2.3154636313159354;431.9;;;;348.16;23173.12;126.28211764705881;0.3030335233847025;0.27639815203468715;;;;65.265625;7.550782722694186;NVIDIA GeForce RTX 4090;0.23.1.0;25280;8.64355754852295;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3602 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;D;2k;irrev;throughput;8;1;;3602;all;8569.8;2.37917823431427;420.3;;;;348.16;23173.12;126.34689655172414;0.3107508924000158;0.28345120070875746;;;;67.8125;7.654524922034122;NVIDIA GeForce RTX 4090;0.23.1.0;25245;8.85913896560669;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3602 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;D;2k;irrev;throughput;8;1;;3602;all;8480.4;2.3543586896168796;424.7;;;;348.16;23173.12;126.6186046511628;0.30788849503898275;0.28089830923769754;;;;66.875;7.635265599884584;NVIDIA GeForce RTX 4090;0.23.1.0;25207;8.758699893951416;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3602 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;D;2k;irrev;throughput;8;1;;3602;all;8483.1;2.355108273181566;424.6;;;;348.16;23173.12;126.19941860465116;0.3070451371234651;0.2800394764684974;;;;67.03125;7.648719603420376;NVIDIA GeForce RTX 4090;0.23.1.0;25212;8.763721704483032;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kDecoderSample.exe -i fv_ref_2k_irrev.jp2 -o tmp.ppm -repeat 3602 -async -thread 8 -b 1 -discard
2026-08-31.3;;fv;E;2k;irrev;throughput;8;2;;9996;all;5221.9;0.5223989595838335;1914.3;;;;2222.08;23173.12;206.1325;0.11628228415002008;0.11002080382399754;;;;36.515625;6.475680412535464;NVIDIA GeForce RTX 4090;0.23.1.0;25176;5.638886213302612;D:\_Test\fvSDK-0.23.1.0-Win64-CUDA-13.3-Trial-Exp-2027-08-03\bin\x64\Release\J2kEncoderSample.exe -i 2k_wild.ppm -o tmp.jp2 -a irrev -c 32 -l 6 -q 85 -repeat 9996 -async -thread 8 -b 2 -discard
